[description:"diagramm classes facultatif" end:"1591627395" entry:"1590746372" modified:"1591627396" project:"bd" status:"completed" uuid:"98f41e81-f9c5-4a9f-8246-77fafacb7691"]
[description:"diagramme en relation" end:"1591627396" entry:"1590746399" modified:"1591627396" project:"bd" status:"completed" uuid:"53260569-9ca3-4a74-bd03-73b183b7cf3e"]
[description:"verouiller table" end:"1591627396" entry:"1591403594" modified:"1591627396" project:"bd" status:"completed" uuid:"11010909-1a3e-4e6e-af3e-ccdfbca5d17e"]
[description:"fenetre popup" end:"1591627396" entry:"1591403613" modified:"1591627396" project:"bd" status:"completed" uuid:"d9aad3f8-d393-408b-ae74-bc82062d62fe"]
[description:"sac" due:"1590867263" end:"1591403441" entry:"1590830059" imask:"7" modified:"1591403441" parent:"f0097465-683e-459f-af1f-562c07f8ce86" project:"récapitulatif" recur:"daily" status:"completed" uuid:"336a3c71-e891-41df-965a-efc309b6937a"]
[description:"kinyarwanda" due:"1590867263" end:"1591403441" entry:"1590830059" imask:"7" modified:"1591403441" parent:"de1074a8-8fc4-4dba-9ba8-21afc8a8e59d" project:"récapitulatif" recur:"daily" status:"completed" uuid:"6b3841f5-4538-440b-a405-09a6a6df7194"]
[description:"phantsper" due:"1590867263" end:"1591403441" entry:"1590830059" imask:"7" modified:"1591403441" parent:"4eb212bc-9666-45c6-9a7b-de55f9b7e1b4" project:"récapitulatif" recur:"daily" status:"completed" uuid:"13f48a22-3051-487e-a98f-609034ad689b"]
[description:"spirituel" due:"1590953657" end:"1591403441" entry:"1590995111" imask:"8" modified:"1591403441" parent:"0cd612cb-5605-4c8a-8ed2-6332c8195861" project:"récapitulatif" recur:"daily" status:"completed" uuid:"a1cbfbe8-8641-4672-88c2-3a5abbc0e93e"]
[description:"spirituel" due:"1591040057" end:"1591403441" entry:"1590995111" imask:"9" modified:"1591403441" parent:"0cd612cb-5605-4c8a-8ed2-6332c8195861" project:"récapitulatif" recur:"daily" status:"completed" uuid:"3ed8f9e2-bc52-4b9c-bbf1-2f6e47669f41"]
[description:"actualiser cours" due:"1590953663" end:"1591403441" entry:"1590995111" imask:"8" modified:"1591403441" parent:"2104d273-df4a-494b-b706-ee6a6ebc4f51" project:"récapitulatif" recur:"daily" status:"completed" uuid:"c9f6a131-12af-4699-9721-cb10ee80aa27"]
[description:"actualiser cours" due:"1591040063" end:"1591403441" entry:"1590995111" imask:"9" modified:"1591403441" parent:"2104d273-df4a-494b-b706-ee6a6ebc4f51" project:"récapitulatif" recur:"daily" status:"completed" uuid:"63d924f6-5ddf-4c63-91f0-755e87ccff5e"]
[description:"rangement" due:"1590953663" end:"1591403441" entry:"1590995111" imask:"8" modified:"1591403441" parent:"c8a06bf4-accb-4d1e-9631-89de2b3a12b2" project:"récapitulatif" recur:"daily" status:"completed" uuid:"8193606c-61a2-4736-87d0-3a5652c339cd"]
[description:"rangement" due:"1591040063" end:"1591403441" entry:"1590995111" imask:"9" modified:"1591403441" parent:"c8a06bf4-accb-4d1e-9631-89de2b3a12b2" project:"récapitulatif" recur:"daily" status:"completed" uuid:"10cc55fd-f106-4c11-9577-0784180f082e"]
[description:"news" due:"1590953663" end:"1591403441" entry:"1590995111" imask:"8" modified:"1591403441" parent:"85a1355a-fba7-4838-a973-3cdf8a3c2774" project:"récapitulatif" recur:"daily" status:"completed" uuid:"56c1c9d1-1ef4-47ad-bfa7-9653d77aa689"]
