node,link
sano,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.VsEh_TddnQqn7r1hOnJgKQHaF1%26pid%3DApi&f=1
takemishi,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.anime-planet.com%2Fimages%2Fcharacters%2Fthumbs%2Ftakemichi-hanagaki-186398.jpg%3Ft%3D1603146460&f=1&nofb=1
ken,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.8u024XIJ6Iw0lIBu0UcZWAHaEJ%26pid%3DApi&f=1
naoto,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.xsVyaLqMiV8GwRoEeExG4wHaNo%26pid%3DApi&f=1
hinata,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.wefgXv3bo661byjJYl9WMwHaNo%26pid%3DApi&f=1
